,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
363,Companies should be taxed more even if it leads to job losses,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
364,The parents of the school bully should be referred to the circle of support under threat of sanction.,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.6692701010670462,False
365,Lack of money alone cannot solve health care problems,10,10_health_care_doctors_nurses,"['health', 'care', 'doctors', 'nurses', 'mental', 'services', 'public', 'medical', 'be', 'in']","['Occupational health care should be nationalized and taxes set at a level that supports the public health care system', 'Health care should be privatized and instead of public health care, a national insurance system should be built', 'Occupational health care must be abolished and all citizens must be transferred to the same health care system.']",health - care - doctors - nurses - mental - services - public - medical - be - in,1.0,False
366,The proportion of first-time student quotas used in the joint application of higher education institutions should be reduced.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
367,Finland can take on more debt than at present,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
368,The consumption of energy and raw materials must be reduced in order to combat climate change.,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,0.28762817062221974,False
369,Using the household deduction or commuting deduction is tax planning.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.5953084776482354,False
370,Tax planning within the framework of the law and with instructions approved by the taxman is ok.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.8974204812550521,False
371,Growing bureaucracy and regulation weakens Finland's competitiveness,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
372,Questions about political actions that require reasons and explanations promote development better than claims.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.5060613670616575,False
373,Driving should be restricted in city centers.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.9500231046108015,False
374,Finland must stick to ambitious climate and nature goals and put these at the top of the priority list,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,1.0,False
375,A member of parliament moving to a new job in the middle of the term is morally right for those who voted for him.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
376,"For relatives of the elderly, more support and flexibility in working life.",16,16_elderly_age_services_people,"['elderly', 'age', 'services', 'people', 'of', 'digital', 'the', 'life', 'care', 'for']","['Competitive home care for the elderly is a money trap for companies whose only goal is to make a profit without caring about the well-being of the elderly', 'The digitization of public services has made life difficult for many elderly people.', 'The elderly must be taken better care of.']",elderly - age - services - people - of - digital - the - life - care - for,1.0,False
377,Finland should give Ukraine more tanks.,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.9062311209505346,False
378,"Savings in various administrative sectors should first be made by cutting bureaucracy and making operations more efficient, and not by cutting service users.",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
379,Those who actively participate in working life should not pay for the lifestyle choice of those who rely on subsidies.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
380,Subsidies for adult students must not be cut in order for Finland to develop broadly,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
381,Finland should accept more immigrants despite the possible problems,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,1.0,False
382,The whole of Finland should support the pursuit of an economically unprofitable business if the business has local traditions.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
383,Power should be decentralized instead of centralized.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
384,Humdinger,20,20_yes_uh_this_good,"['yes', 'uh', 'this', 'good', 'humdinger', 'huh', 'hey', 'pussy', 'thanks', 'oh']","['Yes', 'Yes.', 'Yes']",yes - uh - this - good - humdinger - huh - hey - pussy - thanks - oh,1.0,False
385,"In politics, the weighing of causes and consequences at the same time grounds the mature behavior of citizens and the development of thinking.",2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.6421053382034024,False
386,It is good that political power in Finland does not stay with the same party for very long,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
387,The livelihood of single households should be better taken into account in decision-making,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
388,Assumes that some corporate subsidies have an impact on the climate.,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,0.4046793184897956,False
389,The media has lost its credibility in its impartiality,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
390,The speed limit in the city center should be 30 km/h,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.7527153396451413,False
391,The right to self-determination of intersex people must be protected by law in Finland as well.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
392,Our economic system based on continuous growth must change in order to keep the planet viable.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.9205425954583228,False
393,We should nationalize more means of production than at present,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.21208083294330315,False
394,"By cutting off the low-income group, Finland's indebtedness can be curbed and the economy will rise.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
395,"Cannabis to be legal, regulated and subject to taxation.",13,13_drug_use_cannabis_drugs,"['drug', 'use', 'cannabis', 'drugs', 'rooms', 'legalized', 'users', 'should', 'be', 'treatment']","['The criminalization of drug use should be removed', 'I support drug use rooms if they reduce drug deaths', 'I support drug use rooms, if they reduce the disorderly use of drug users in public places.']",drug - use - cannabis - drugs - rooms - legalized - users - should - be - treatment,1.0,False
396,There are more than two genders,9,9_gender_conscription_genders_women,"['gender', 'conscription', 'genders', 'women', 'men', 'are', 'service', 'be', 'two', 'sexual']","['There are two genders, i.e. Male and Female, but there are an indeterminate number of social, gender roles', 'Gender identity should not be used as a synonym for gender', 'Gender, gender role and gender identity are different things and should not be confused.']",gender - conscription - genders - women - men - are - service - be - two - sexual,0.7846938294299668,False
397,Self-employed people should have the opportunity to receive a vacation benefit at least once a week for a week.,5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,0.6229860401355363,False
398,Park areas in cities should be prioritized for use by people and not white-cheeked geese,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
399,"We need to think of ourselves as part of a larger continuum, rather than our own experience and era",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
400,Students are supported too little,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.8452677748520973,False
401,"The countryside is important for Finland from the point of view of food production, security of supply and safety",3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.35989907062683785,False
402,Appreciation of local food must be increased in order to secure domestic food production,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.7104869967879709,False
403,"Finland must target investments in research, development and innovation in such a way that they serve their purpose better than before.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
404,No mines in nature conservation or national park areas or near groundwater areas,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,1.0,False
405,Racism and hate speech must be dealt with more strictly,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,0.48290838208304043,False
406,You should discuss things while being aware of your own style of language use. A user of a perceived offensive style will not get his message across easily.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.8863512039979651,False
407,Taxation of the work of working carers should be lightened.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
408,More bike lanes should be built in cities.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
409,Winter feeding places for non-native species should be banned.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
410,Finns should get to know their own country's different regions and ways of life more.,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.7745836342326116,False
411,Employees need ay organizations as their guardians.,5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,1.0,False
412,the unemployed themselves have the primary obligation to support themselves by also accepting unpleasant and non-educational work,5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,1.0,False
413,"Finland should take much more climate measures that even worsen the living conditions of its citizens, if carbon neutrality cannot be achieved otherwise.",1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,1.0,False
414,People need to focus more on general well-being instead of self-centeredness,11,11_society_wellbeing_life_people,"['society', 'wellbeing', 'life', 'people', 'is', 'future', 'good', 'of', 'the', 'better']","['It is more important to take care of the weakest in society than to take care of the interests of the highest earners', 'In today\'s society, where one machine does the work of a thousand people, it is crazy to think that everyone is obliged to ""support themselves"".', 'Society should work so that as many people as possible are good. And not on the weakest terms.']",society - wellbeing - life - people - is - future - good - of - the - better,0.8334572232859185,False
415,The use of cannabis should be legalized and its sale regulated and taxed.,13,13_drug_use_cannabis_drugs,"['drug', 'use', 'cannabis', 'drugs', 'rooms', 'legalized', 'users', 'should', 'be', 'treatment']","['The criminalization of drug use should be removed', 'I support drug use rooms if they reduce drug deaths', 'I support drug use rooms, if they reduce the disorderly use of drug users in public places.']",drug - use - cannabis - drugs - rooms - legalized - users - should - be - treatment,0.5918980075612361,False
416,Access to psychotherapy should be made easier.,10,10_health_care_doctors_nurses,"['health', 'care', 'doctors', 'nurses', 'mental', 'services', 'public', 'medical', 'be', 'in']","['Occupational health care should be nationalized and taxes set at a level that supports the public health care system', 'Health care should be privatized and instead of public health care, a national insurance system should be built', 'Occupational health care must be abolished and all citizens must be transferred to the same health care system.']",health - care - doctors - nurses - mental - services - public - medical - be - in,1.0,False
417,Finland should leave the EU,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,1.0,False
418,The army should be voluntary for both men and women. Civil service should be an equal option alongside the army.,9,9_gender_conscription_genders_women,"['gender', 'conscription', 'genders', 'women', 'men', 'are', 'service', 'be', 'two', 'sexual']","['There are two genders, i.e. Male and Female, but there are an indeterminate number of social, gender roles', 'Gender identity should not be used as a synonym for gender', 'Gender, gender role and gender identity are different things and should not be confused.']",gender - conscription - genders - women - men - are - service - be - two - sexual,1.0,False
419,The capitalist economic system should be replaced by a communist one,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.30932389308885827,False
420,Mobile phones should be collected from students in schools during the hours when mobile phones are not needed for teaching.,19,19_phones_cell_schools_mobile,"['phones', 'cell', 'schools', 'mobile', 'use', 'during', 'lesson', 'school', 'phone', 'childrens']","['Mobile phones should be collected from students in schools during the hours when mobile phones are not needed for teaching.', 'The use of cell phones must be decided in schools, not in parliament.', 'In schools, Cell Phones can be used during breaks, but during classes the focus is on studying and Cell Phones are only displayed when necessary.']",phones - cell - schools - mobile - use - during - lesson - school - phone - childrens,1.0,True
421,Capital taxation should be brought to the level of income taxation.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
422,The wealth tax should be returned,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.8017833810589563,False
423,"The community tax cuts should be canceled, in order to secure the public finances",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.5877139090777972,False
424,"Overconsumption must be curbed with the means offered by our current economic system, for example through taxation and customs duties.",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.27121939499947434,False
425,"Basic psychological needs should be taken into account in all legislative work, so that society is structured in a way that satisfies these needs",11,11_society_wellbeing_life_people,"['society', 'wellbeing', 'life', 'people', 'is', 'future', 'good', 'of', 'the', 'better']","['It is more important to take care of the weakest in society than to take care of the interests of the highest earners', 'In today\'s society, where one machine does the work of a thousand people, it is crazy to think that everyone is obliged to ""support themselves"".', 'Society should work so that as many people as possible are good. And not on the weakest terms.']",society - wellbeing - life - people - is - future - good - of - the - better,0.8571003570939459,False
426,Let's encourage men to take parental leave just like women,8,8_child_children_parents_hobbies,"['child', 'children', 'parents', 'hobbies', 'families', 'allowance', 'young', 'childrens', 'exercise', 'to']","['Child allowance should be waived and the money directed to services for families with children', 'Child allowance is for the children of good earners. Child allowance for the low-income is income and not an equal support for children. Scam..', 'Child benefits should not increase the more children there are, but the same child benefit for each child.']",child - children - parents - hobbies - families - allowance - young - childrens - exercise - to,1.0,False
427,Capitalism increases people's selfishness and greed.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
428,Humanitarian immigration is a big mistake,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,1.0,False
