,txt,txt_en,is_seed,is_meta
1337,Avohakkuut on säädettävä poikkeusmenettelyksi talousmetsien hoidossa.,Open felling must be regulated as an exceptional procedure in the management of economic forests.,0,0
1338,"Se on opetuksen vika, kun matkapuhelin on opettamista kiinnostavampi.",It's the teaching's fault when the cell phone is more interesting than teaching.,0,0
1339,"Suomi toimii kumipyörien varassa. Mitä kalliimpaa polttoainetta, sen huonommin menee.","Finland operates on rubber wheels. The more expensive the fuel, the worse it will be.",0,0
1340,Kouluhäiriköinti johtuu oppilaalle väärästä ympäristöstä.,School harassment is caused by the wrong environment for the student.,0,0
1341,Ihmiselle lähitavoite on tärkeln.,"For a person, the immediate goal is important.",0,0
1342,Yhteiskunnan tulisi toimia niin että mahdollisimman monella on hyvä. Eikä heikoimman ehdoilla.,Society should work so that as many people as possible are good. And not on the weakest terms.,0,0
1343,Ihminen haluaa eniten valtaa.,What man wants most is power.,0,0
1344,Demokratia toteutuu vain yksilönvapaudella.,Democracy is realized only with individual freedom.,0,0
1345,Ihminen on aina itsekäs.,Man is always selfish.,0,0
1346,Ihminen uhraa jopa oman henkensä itsekkäästä syystä.,A person even sacrifices his own life for a selfish reason.,0,0
1347,Ihmisten leimaaminen kannanottojen perusteella on epäreilua.,Labeling people based on opinions is unfair.,0,0
1348,Valtion velka uhkaa valtion itsenäisyyttä.,The state's debt threatens the state's independence.,0,0
1349,Maailma pelastuu vain talousjärjestelmää perusteellisesti uudistamalla.,The world can only be saved by thoroughly reforming the economic system.,0,0
1350,Ylikansalliset luottoluokittajat ohjaavat itsenäisiä valtioita.,Transnational credit rating agencies guide independent states.,0,0
1351,Lapsille ylivanhemmaa ovat tärkeämmät kuin mitä ymmärrämme.,Parents are more important to children than we realize.,0,0
1352,"Tarvitaan vastikkeeton, univeraali perustulo","A free, universal basic income is needed",0,0
1353,"En kannata tässä muodossa, mutta riittävän monesta rikkomuksesta ajokortin menetys ja ajokokeen uusinta.","I don't support this format, but for enough violations, the loss of the driver's license and the retaking of the driving test.",0,0
1354,Ensisijaisesti oireilun syy pitää selvittää ja tarjota riittävästi tukitoimia. Koulun ja opettajien tulee tehdä koulusta turvallinen.,"Primarily, the cause of the symptoms must be determined and sufficient support provided. The school and teachers must make the school safe.",0,0
1355,Henkilöön kohdistuneista rikoksista tulisi saada tiukemmat ja pidemmät tuomiot.,Crimes against a person should receive stricter and longer sentences.,0,0
1356,"Voi myös myötäillä hiukan toisia, mut viedä silti ajatusta toiseen suuntaan.","You can also sympathize with others a little, but still take the idea in a different direction.",0,0
1357,Turkistarhauksesta pitäisi luopua noin viiden vuoden tuetulla siirtymäajalla.,Fur farming should be abandoned with a subsidized transition period of about five years.,0,0
1358,Luontokato on globaalisti suurin uhka ihmiskunnalle tulevaisuudessa,Loss of nature is globally the greatest threat to humanity in the future,0,0
1359,Jokaisella maailman kansalla on oikeus sekä olla olemassa että puolustaa oman ryhmänsä olemassaoloa uhkia vastaan.,Every nation in the world has the right both to exist and to defend the existence of its own group against threats.,0,0
1360,"Kansainvälinen yhteistyö on tärkeää, mutta etnisten suomalaisten edun tulee olla etusijalla tilanteissa, joissa kaikki eivät voi voittaa","International cooperation is important, but the interests of ethnic Finns must come first in situations where not everyone can win",0,0
1361,Meidän tulisi siirtyä osakeyhtiöiden sijaan enemmänkin työntekijöiden omistamien osuuskuntien varaan rakentuvaan talousjärjestelmään.,"Instead of joint-stock companies, we should move to an economic system based more on worker-owned cooperatives.",0,0
1362,"Huumeiden käyttö tulisi dekriminalisoida, jotta virkavalta voisi keskittyä toimimaan huumeita myyviä rikollisorganisaatioita vastaan",Drug use should be decriminalized so that the authorities can focus on working against criminal organizations that sell drugs,0,0
1363,"Ihmisellä on oikeus laajentaa tajuntaansa haluamallaan tavalla muita vahingoittamatta, joten psykedeelit tulisi laillistaa Suomessa","People have the right to expand their consciousness as they wish without harming others, so psychedelics should be legalized in Finland",0,0
1364,Raha ja poliittiset tavoitteet jyräävät päätöksentekijöiden keskuudessa yhteisen hyvän.,Money and political goals drive the common good among decision makers.,0,0
1365,"Maahanmuuttajia tulisi arvioida pisteillä, jotka huomioivat esim. kieli- ja koulutustason. Heikot pisteet saavia ei tulisi päästää maahan.",Immigrants should be evaluated with points that take into account e.g. language and educational level. Those with low scores should not be allowed into the country.,0,0
1366,"Suomi on Ruotsin tiellä maahanmuutossa ja sen ongelmissa. Tämä tie on pysäytettävä voimakkain keinoin, lakimuutoksin ja pakkopalautuksin.","Finland is on Sweden's path when it comes to immigration and its problems. This road must be stopped by strong means, law changes and forced returns.",0,0
1367,"Tietysti pitäisi, yksin asuvalla ei ole kukaan jakamassa järjettömiä kuluja mitä esim. Työttömällä kin on, kuten minulla.","Of course you should, when you live alone, there is no one to share absurd expenses, which e.g. The unemployed also have it, like me.",0,0
1368,"Suomen tulisi kansanlistaa sähkönsiirto yhtiöt ,monopolipeli ei vain toimi","Finland should nationalize electricity transmission companies, the monopoly game just doesn't work",0,0
1369,Biokaasu olisi kestävämpi vaihtoehto fossiiliselle polttoaineelle autoissa.,Biogas would be a more sustainable alternative to fossil fuel in cars.,0,0
1370,Suomi on nykyään SDP natsien valtaama,"Today, Finland is occupied by SDP Nazis",0,0
1371,Itsenäinen ajatus.,Independent thought.,0,0
1372,"Bensan ja sähkön hinnalle tulisi asettaa hintakatto (esim. 95E 1,5€/l ja sähkö 5 snt/kwh).",A price ceiling should be set for the price of gasoline and electricity (e.g. 95E 1.5€/l and electricity 5 cents/kwh).,0,0
1374,Hallitus on sysi PASKA,The government is Sysi SHIT,0,0
1375,Talletussuoja siirtää sijoittajien riskejä yhteiskunnan harteille.,Deposit protection transfers investors' risks onto society's shoulders.,0,0
1376,Palvelusetelit ovat paras tapa tukea kolmatta sektoria.,Service vouchers are the best way to support the third sector.,0,0
1377,Keskuspankkien inflaatiotavoite ei huomioi pidemmän aikavälin riskejä rahoitusjärjestelmälle.,The central banks' inflation target does not take into account longer-term risks to the financial system.,0,0
1378,Kaupunkien kannattaa periä tietöistä kansalaisille aiheutuvan haitta tietyön teettäjältä maksuna.,Cities should collect the inconvenience caused by road works to citizens as a fee from the contractor.,0,0
1379,Apteekkijärjestelmämme on luokkaa sadan miljoonan euron vuosittainen tulonsiirto hyväosaisille.,Our pharmacy system is an annual income transfer of one hundred million euros to the well-off.,0,0
1380,Verokohtelun pitäisi olla tasa-arvoista.,Tax treatment should be equal.,0,0
1381,Maatalouden ilmastolle haitalliset tuet pitäisi lopettaa ja sen sijaan tukea tuottajia siirtymisessä kasviperäisen ruoan tuotantoon.,Subsidies harmful to the climate in agriculture should be stopped and producers should instead be supported in transitioning to plant-based food production.,0,0
1382,"Maataloustuet ovat protektionismia, joka pitää maailman köyhimmät maat köyhinä ja hidastaa työn tuottavuuden kasvua alalla.",Agricultural subsidies are protectionism that keeps the world's poorest countries poor and slows down labor productivity growth in the sector.,0,0
1383,Jatkuvan talouskasvun ajatukselle perustuva taloutemme ei kykene nykyisessä muodossaan ratkaisemaan luontokatoa ja ilmastonmuutosta.,"Our economy, based on the idea of ​​continuous economic growth, in its current form is not able to solve the destruction of nature and climate change.",0,0
1384,"Alakouluissa tulisi olla rentohenkinen liikuntatunti joka päivä. Tunti pidentäisi koulupäivää, eikä näin ollen olisi pois muilta aineilta.","Elementary schools should have a relaxed exercise class every day. The class would extend the school day, and therefore would not take away from other subjects.",0,0
1385,Ananas kuuluu pizzaan!,Pineapple belongs on pizza!,0,0
1386,Ihmiskunta pitäisi harventaa pehmeästi mutta nopeasti alle miljardiin.,Humanity should be thinned out softly but quickly to less than a billion.,0,0
1388,"Ei EU, ei ilmastorahalle","No EU, no climate money",0,0
1389,Kansalaisjärjestöjen toiminnan tulee perustua vapaaehtoistyöhön ja lahjoituksiin eikä verovaroihin.,The activities of non-governmental organizations must be based on voluntary work and donations and not on tax funds.,0,0
1390,Ulkomailta katsottuna olemme kaikki täällä sosialisteja.,"Seen from abroad, we are all socialists here.",0,0
1391,"Se huolettaa, että onko koulukiusaajaksi määritelty henkilö se ongelmien alku alunperin.",It worries whether the person defined as a school bully is the beginning of the problems in the first place.,0,0
1392,Työmatkavähennyksestä voisi luopua ja vastaavasti alentaa tuloveroa.,The commuting deduction could be waived and the income tax could be reduced accordingly.,0,0
1393,"Liikuntapalveluita tulisi tarjota kansalaisille ilmaiseksi hyvinvoinnin vahvistamisen,työurien pidentämisen ja terveydenhoitosäästöjen takia","Exercise services should be offered to citizens for free in order to strengthen well-being, extend working careers and save on healthcare",0,0
1394,Olen puhunut .. Ugh,I have spoken.. Ugh,0,0
1395,Suomi on menossa kohti holhousyhteiskuntaa,Finland is moving towards a patronage society,0,0
1396,"Turva kelkassa kun ollaan Natossa, mutta Ruotsin tilanne alkaa huolestuttaa jo. Realismia turvallisuus politiikkaan.","It's safe when we're in NATO, but the situation in Sweden is already starting to worry. Realism for security policy.",0,0
1397,Pitäkää tunkkinne ! 😂,Keep your jacks! 😂,0,0
1398,Nykypäätökset loukkaavat perustuslakia,Current decisions violate the constitution,0,0
1399,Suurimpia eläkkeitä on leikattava.,The largest pensions must be cut.,0,0
1400,Turkua pitäisi kehittää jalankulkijoiden ja pyöräilijöiden ehdolla.,Turku should be developed on the condition of pedestrians and cyclists.,0,0
1401,Sähköpotkulaudat pitäisi kieltää kaupunkien keskustoissa.,Electric scooters should be banned in city centers.,0,0
1402,Sähköpotkulautafirmoja tulisi sanktioida väärin pysäköidystä ja luontoon jätetyistä potkulaudoista.,Electric scooter companies should be sanctioned for improper parking and scooters left in nature.,0,0
1403,"Viinejä ei tule tuoda ruokakauppaan, koska se lisää terveydellisiä ja sosiaalisia haittoja yhteiskunnassa.",Wines should not be brought into the grocery store because it increases health and social harm in society.,0,0
1405,"Jos menosi ylittävät tulosi, haetko lainaa elämiseesi, hankit lisätuloja vai karsit menojasi?","If your expenses exceed your income, do you apply for a loan to live on, get additional income or cut back on your expenses?",0,0
1406,Historiallinen lause „Uskonto on oopiumia kansalle“ koettelee 2020-luvulla jo sananvapautta Suomessa toisin kuin 1960-luvulla…,"The historical phrase ""Religion is opium for the people"" is already testing freedom of speech in Finland in the 2020s, unlike in the 1960s...",0,0
1407,Nykyään loukkaannutaan kaikesta. Mitään ei saa sanoa ja määritellään mitä mieltä ihminen saa mistäkin asiasta olla. Sananvapautta ei ole.,Today we get offended by everything. You are not allowed to say anything and it is defined what opinion a person can have about something. There is no freedom of speech.,0,0
1408,Kansalaispalkka tai perustulo on otettava käyttöön.,A citizen's salary or basic income must be introduced.,0,0
1409,Uudet näkökulmat tai kokemukset on ok,New perspectives or experiences are ok,0,0
1410,pitää koskea,must be touched,0,0
1411,"Puolueet syyttävät järjestäytyneitä eturyhmiä Suomen edun unohtamisesta, mutta ovat itse osa ongelmaa.","The parties blame organized interest groups for forgetting Finland's interests, but they are themselves part of the problem.",0,0
1412,Näin on,This is it,0,0
1413,Biologinen sukupuoli pitää merkitä väestörekisteriin,The biological sex must be recorded in the population register,0,0
1414,Sukupuoli-identiteetistä ei pidä puhua sukupuolen synonyymina,Gender identity should not be used as a synonym for gender,0,0
1415,Murrosikä on normaali osa ihmisen elämää,Adolescence is a normal part of human life,0,0
1416,Opetussuunnitelman pitää perustua tieteelliseen tietoon eikä olla ideologisesti värittynyttä,The curriculum must be based on scientific knowledge and not ideologically colored,0,0
1417,"Jos transsukupuolisuus ei ole sairaus, sitä ei kuulu myöskään hoitaa verovaroin julkisessa terveydenhuollossa.","If transgenderism is not a disease, it should also not be treated with tax funds in public health care.",0,0
1419,Persut pois hallotuksesta,Fuck you out of control,0,0
1420,"Taiteen tekeminen on yhteiskunnallisesti tärkeää, vaikka se ei olisi taloudellisesti kannattavaa.","Making art is socially important, even if it is not financially profitable.",0,0
1421,"Huumeiden käyttö tulisi dekriminalisoida. Huumeiden välittämisen tulisi olla rikollista, mutta käytön kriminalisointi ei auta lopettamiseen.","Drug use should be decriminalized. Dealing in drugs should be a crime, but criminalizing use won't help stop it.",0,0
1422,Translaki pitää perua koskemaan vain lääketieteellisesti todettuja ihmisiä joilla ei ole selviä ulkoisia merkkejä kumpaa sukupuolta on.,Translaki considers the cancellation to only apply to medically diagnosed people who do not have clear external signs of which gender they are.,0,0
1423,Ylen uutisissa pitäisi olla ainakin yhden positiivisen uutisen ”uutistakuu”.,"Yle's news should have a ""news guarantee"" of at least one positive piece of news.",0,0
1424,Translaki on peruttava koskemaan  vain ns transihmisiä joilla ei ole ulkoisia elimiä.,The trans law must be canceled to only apply to so-called trans people who do not have external organs.,0,0
1425,Diesel-autojen käyttövoimavero on poistettava.,The motive power tax for diesel cars must be removed.,0,0
1426,"Maahanmuuton suuri ongelma on se että, maahanmuuttajataustainen nainen ei opiskele Suomea, vaan jää lapsinensa kotiin, eikä siksi sopeudu","The big problem with immigration is that a woman with an immigrant background does not study in Finland, but stays at home with her children, and therefore does not adapt",0,0
1427,"Lasten ja nuorten tekemistä rikoksista pitää voida rangaista (väkivallattomasti), ettei tilanne karkaa tämän enempää käsistä.",Crimes committed by children and young people must be punished (non-violently) so that the situation does not get out of hand any more.,0,0
1428,Maailmassa on aivan liikaa ihmisiä. Ilmastonmuutoksen sijaan pitäisi puhua siitä miten rajoitetaan syntyvyyttä.,"There are way too many people in the world. Instead of climate change, we should talk about how to limit the birth rate.",0,0
1429,"Turkistuotanto ei ole elinkelpoinen ala, jos se ei saa vapailta markkinoilta vakuutusta pandemiahaittojen varalle.",Fur production is not a viable industry if it does not get insurance from the free market in case of pandemic damage.,0,0
1430,Vanhan auton ostaminen on ympäristöteko. Uuden auton ostaminen kuluttaa merkittävästi luonnonvaroja.,Buying an old car is an environmental act. Buying a new car consumes a significant amount of natural resources.,0,0
1431,Turkistarhauksen mielekkyyttä pohdittaessa on huomioitava myös terveysriskit sekä ihmisille että villieläimille.,"When considering the meaning of fur farming, the health risks for both humans and wild animals must also be taken into account.",0,0
1432,"Jos lintuinfluenssan tautitapaukset vähenevät, suomalaisen yhteiskunnan ei tarvitse olla siitä enää huolissaan.","If the cases of bird flu decrease, Finnish society does not have to worry about it anymore.",0,0
1433,"Hyvinvointialueet syyllistävät kuntia säästöistä, vaikka ne ovat suurilta osin hyvinvointialueuudistuksen vaikutuksia kuntien talouteen.","The welfare districts blame the municipalities for the savings, even though they are largely the effects of the welfare district reform on the municipalities' finances.",0,0
1434,Turkistarhauksen mielekkyyttä pohdittaessa on huomioitava elinkeinoa harjoittavien ihmisten tilanne. Elinkeinoa sinänsä ei tule tukea.,"When considering the meaning of fur farming, the situation of the people involved in the business must be taken into account. Business as such will not be supported.",0,0
1435,Lapsen oikeudet eivät toteudu tarpeeksi urheilussa.,Children's rights are not realized enough in sports.,0,0
1436,Jokainen ihminen on lähtökohtaisesti hyvä.,Every person is fundamentally good.,0,0
1437,"Sillä on iso merkitys, miten kohtaat toisen ihmisen.",It matters a lot how you meet another person.,0,0
1438,Ruotsin kielen opiskelu kouluissa ei saa olla pakollista.,Studying the Swedish language in schools should not be compulsory.,0,0
1439,"Vihreässä siirtymässä tulee tukea fossiilitaloutta (esim. turve) harjoittavia ihmisiä ja uudelleentyöllistymistä, ei elinkeinoa sinänsä.","In the green transition, support should be given to people engaged in the fossil economy (e.g. peat) and re-employment, not to the business itself.",0,0
1440,"Aikuiset päättävät lapsen ja nuoren asioista liian usein itsenäisesti, ottamatta lasta/ nuorta mukaan keskusteluun.","Adults too often decide on the child's and young person's issues independently, without including the child/young person in the discussion.",0,0
1441,Liikenne palvelunsa (MaaS) on kustannustehokasta mutta vaikea saada alkuun. Siksi valtion pitää edistää sen nousua rahalla ja laeilla.,"Transport as a service (MaaS) is cost-effective but difficult to get started. Therefore, the state must promote its rise with money and laws.",0,0
1442,"Joka menee otsikossa tai alkulauseessa ytimeen ja jossa on perustelu, ehkä jopa ratkaisuehdotus tai kysymys","Which goes to the heart of the title or opening sentence and has a justification, maybe even a proposed solution or a question",0,0
1443,Tutkimuksin osoitettu kustannustehokkuus pitäisi ottaa tiukemmin yhteiskunnallisten päätösten kriteeriksi. Tutkimuksia on myös tuettava.,The cost-effectiveness shown by research should be taken more strictly as a criterion for social decisions. Research must also be supported.,0,0
1444,"Sellainen yhteiskunnallinen toimi ei ole hyväksyttävä, joka aiheuttaa haittaa heikommassa ja hyötyä paremmassa asemassa olevalle.","Such a social action is not acceptable, which causes harm to the weaker and benefits to the one in a better position.",0,0
1445,"Yhteiskunnallista toimenpidettä on parannettava, jos toimenpide aiheuttaisi haittaa heikommassa ja hyötyä paremmassa asemassa olevalle.",A social measure must be improved if the measure would cause harm to a weaker person and benefit to someone in a better position.,0,0
1446,"EU puuttuu liikaa ""lillukanvarsiin"" eikä anna kansalliselle päätöksenteolle tarpeeksi tilaa.","The EU interferes too much in the ""lillukvars"" and does not give enough space to national decision-making.",0,0
1447,"Yhteiskunta voi vaatia kansalaiselta tekoja (esim. maskin käyttö pandemiassa), jos ne tuovat selkeän yleisen hyödyn vaivaan nähden.",Society can demand actions from citizens (e.g. wearing a mask during a pandemic) if they bring a clear public benefit compared to the effort.,0,0
1448,Suomen tulee luopua kesä- ja talviaikaan siirtymisestä riippumatta EU:n kannanotoista.,"Finland should abandon the transition to summer and winter time, regardless of the EU's positions.",0,0
1449,"Kansalaisen täytyy sopeutua, jos yhteiskunta tuuppaa kestävämpään elämäntapaan (esim. maltillinen lihavero, bensavero, ruuhkamaksu).","Citizens have to adapt if society moves to a more sustainable lifestyle (e.g. moderate meat tax, gas tax, congestion charge).",0,0
1450,"Kansalaisella on velvollisuus osallistua kohtuullisesti, jos jonkin yleisen hyvän saavuttaminen vaatii sitä. Ei vapaamatkustamiselle!",Citizens have a duty to participate reasonably if the achievement of some common good requires it. Not for free travel!,0,0
1451,"Ihmisellä on oikeus harjoittaa haluamaansa laillista elinkeinoa, vaikka siitä olisi merkittävää yhteiskunnallista tai pitkäaikaista haittaa.","A person has the right to practice the legal business of his choice, even if it causes significant social or long-term harm.",0,0
1452,Vuokralle tarjottavat sähkölaudat aiheuttavat jatkuvasti vaaratilanteita ja ne on kiellettävä.,Electric boards offered for rent constantly cause dangerous situations and must be banned.,0,0
1453,Elinkeinonvapauden takia on tuettava elinkeinojen jatkuvuutta. Rajoituksia saa asettaa vain vakavien haittojen estämiseksi.,"Due to the freedom of business, the continuity of businesses must be supported. Restrictions may only be imposed to prevent serious harm.",0,0
1454,"Elinkeinonvapauden takia tulee tukea erityisesti nykyisiä elinkeinoja. Uusia elinkeinoja kyllä syntyy, jos siihen on edellytykset.","Due to the freedom of business, existing businesses should be supported in particular. New livelihoods will be created if the conditions are there.",0,0
1455,Yhteiskunnan tulee aktiivisesti vähentää talouden fossiiliriippuvuutta. Markkinamekanismi ei ole riittävän nopea eikä tehokas.,Society must actively reduce the economy's dependence on fossil fuels. The market mechanism is neither fast nor efficient enough.,0,0
1456,Työllisrämis hankkeet ovat vedenkantamista avannosta toiseen.,Työllisrämis projects are carrying water from one opening to another.,0,0
1457,"Suomen on noudatettava kansainvälisiä sitoumuksia hiilineutraalisuuteen ja luonnon monimuotoisuuteen liittyen, vaikka se maksaakin.","Finland must comply with international commitments regarding carbon neutrality and biodiversity, even if it costs money.",0,0
1458,"Kaupunkejamme rakennetaan gryndereiden ja tehokkuuden ehdoilla, viihtyvyydestä välittämättä","Our cities are built on the terms of Grinders and efficiency, without caring about comfort",0,0
1459,Ilmasto- tai luontositoumukset eivät saa aiheuttaa kansalaisten elämälle kohtuutonta haittaa lyhyellä aikavälillä.,Climate or nature commitments must not cause unreasonable harm to citizens' lives in the short term.,0,0
1460,"Jos ilmastonmuutoksen tai luontokadon lyhyt- ja pitkäaikaiset vaikutukset kansalaisiin ovat ristiriidassa, lyhytaikaiset ovat tärkeämpiä.","If the short-term and long-term effects of climate change or nature loss on citizens are in conflict, the short-term ones are more important.",0,0
1461,Kasvihuonekaasupäästöjä on vähennettävä kunnianhimoisesti. Tavoite on ensisijainen lyhytaikaisiin vaikutuksiin nähden.,Greenhouse gas emissions must be reduced ambitiously. The goal takes precedence over short-term effects.,0,0
1462,Kasvihuonekaasupäästöjä on vähennettävä tasapainossa taloudellisten tavoitteiden kanssa. Jälkimmäiset eivät saa vaarantua.,Greenhouse gas emissions must be reduced in balance with financial goals. The latter must not be endangered.,0,0
1463,Luonnon monimuotoisuus on turvattava kaikilla Suomen eri alueilla. Tavoite on ensisijainen.,Biodiversity must be protected in all different regions of Finland. The goal is primary.,0,0
1465,Metsissä ja metsätaloudessa nykytilan säilyminen on tärkeää. Siksi radikaaleja muutoksia ei pidä tehdä.,"In forests and forestry, preserving the current condition is important. Therefore, radical changes should not be made.",0,0
1466,"Kasvihuonekaasujen päästövähennykset eivät ole tärkeitä. Suomi on niin pieni maa, ettei sillä ole merkitystä kokonaisuuteen.",Greenhouse gas emission reductions are not important. Finland is such a small country that it is not important to the whole.,0,0
1467,Ylen omaa tuotantoa pitää supistaa,Yle's own production must be reduced,0,0
1468,Nykyistä leikkauspolitiikkaa ajaa enemmän ideologinen eetos köyhien laiskuudesta kuin faktaperusteet ja tutkimus.,The current cut policy is driven more by an ideological ethos about the laziness of the poor than by factual bases and research.,0,0
1469,Velvollisuus vähentää kasvihuonekaasupäästöjä riippuu päästöistä henkeä kohti. Siksi Suomella on iso vastuu päästöjen vähentämisessä.,"The obligation to reduce greenhouse gas emissions depends on emissions per capita. Therefore, Finland has a big responsibility in reducing emissions.",0,0
1471,Aikuisten jatko- ja täydennyskoulutusta tulee helpottaa ja tukea taloudellisesti.,Further and continuing education for adults should be facilitated and supported financially.,0,0
1472,"Kaikki tämä on tärkeää yhtaikaa: kasvihuonekaasupäästöjen vähentäminen, vihreän yritystoiminnan kehittäminen ja kaikkien oikeudenmukaisuus.","All this is important at the same time: reduction of greenhouse gas emissions, development of green business activities and fairness for all.",0,0
1473,Ikääntyneiden ja vanhusten liikkumista ja harrastusmahdollisuuksia tulee tukea taloudellisesti.,The exercise and hobby opportunities of the elderly must be financially supported.,0,0
1474,"Ympäristösitoumukset on pidettävä minimissä, koska ne vaikeuttavat tärkeää suomalaisen yritystoiminnan kehittämistä.","Environmental commitments must be kept to a minimum, because they hinder the important development of Finnish business activities.",0,0
1475,"Suomen pitää tehdä kunnianhimoisia ympäristösitoumuksia, koska ne edistävät suomalaisen yritystoiminnan vihreää kehittämistä.",Finland needs to make ambitious environmental commitments because they promote the green development of Finnish business operations.,0,0
1476,Mahdollisuuksien tasa-arvo on parempi vaihtoehto kuin lopputuloksen tasa-arvo.,Equality of opportunity is a better option than equality of outcome.,0,0
1477,Yliluonnollinen ja kaikkivoipa jumalolento tarvitsee ihmisten lain tuomaa suojaa.,A supernatural and all-powerful divine being needs the protection brought by human law.,0,0
1478,"Kunnianhimoisista ilmastotavoitteista on pidettävä kiinni, koska vain siten saadaan parannettua yritystoiminalle tärkeää ennustettavuutta.","Ambitious climate goals must be adhered to, because this is the only way to improve predictability, which is important for business operations.",0,0
1479,"Maailma kärsii, minä en.","The world suffers, I don't.",0,0
1480,"Kiero kysymys. Tarkoittaako kavalasti ay-liikettä? Se ei tosin ole epädemokraattinen, mutta sitä ajatustako Sitra tässä syöttää!","A tricky question. Does slyly mean ay movement? It's not undemocratic, but that's what Sitra is trying to feed here!",0,0
1481,"Tietämättä joistakin asioista tarkemmin, on vaikeaa sanoa kyllä tai ei. Moni vastaus on en osaa sanoa. Päättelijlle jää näin sanavaltaa.","Without knowing more about some things, it's hard to say yes or no. Many answers are I can't say. In this way, decision-makers are left with a say.",0,0
1482,Yhteiskunnallinen muutos ei ole ikinä yksittäisen tahon tai toimijan vastuulla. Kuten ei työelämän muutos ole pelkästään työnantajan vastuu.,Social change is never the responsibility of a single entity or actor. As the change in working life is not only the employer's responsibility.,0,0
1483,Mediassa esiintyi ylilyöntejä ja yksipuolisuutta. Hallituksen toimet ja yleinen varovaisuus sekä rokotukset olivat välttämättömiä!,There were exaggerations and one-sidedness in the media. Government actions and general caution and vaccinations were necessary!,0,0
1484,Suomen tulee ajaa luonto- ja ilmastotavoitteita innovaation ja sovelluskehityksen kautta. Eikä kieltojen ja käyttörajoitusten kautta.,Finland must pursue nature and climate goals through innovation and application development. And not through bans and usage restrictions.,0,0
1485,Pärjään riittävän hyvin!,I'm doing well enough!,0,0
1486,"Ja esittää enemmän kysymyksiä, miksi, miksi ja miksi sitä tarvitaa. Täytyy olla muitakin vaihtoehtoja.","And ask more questions, why, why and why it is needed. There must be other options.",0,0
1487,Yhteistyötä pitää tehdä. Mutta kaikkia muita (enemmistö) ei voi vaatia osaamaan suomea…,Cooperation must be done. But everyone else (the majority) cannot be required to know Finnish...,0,0
1488,"Ei onnistu, aluejako ei ole toimiva!","It doesn't work, the area division isn't working!",0,0
1489,Maalla voi asua lähes omavaraisesti.,You can live on the land almost self-sufficiently.,0,0
1490,Kotimaassa on vielä paljon katsottavaa ei tarvitse lentää kauas.,"There is still a lot to see in Finland, you don't have to fly far.",0,0
1491,"Ei ole viisasta lentää kauas kalalle, kun voi käydä kotijärvellä.",It is not wise to fly far to fish when you can visit your home lake.,0,0
1492,On kestävää syödä kotmaisia kausituotteita.,It is sustainable to eat domestic seasonal products.,0,0
1493,Tie helvettiin on kivetty hyvin aikomuksin.,The road to hell is paved with good intentions.,0,0
1494,"Hullu paljon töitä tekee, viisas elää vähemmälläkin.","A fool works a lot, a wise man lives with less.",0,0
1495,"Tarvitaan uusi taksiuudistus, jossa yhdistetään kahden mallin parhaat puolet.","A new taxi reform is needed, which combines the best aspects of the two models.",0,0
1496,"Talouskasvu on ison nuotion tekemistä, jotta kauempana lämmitellään.",Economic growth is making a big bonfire so that you can warm yourself further away.,0,0
1497,Jokaisella ihmisellä on vastuu omasta hyvinvoinnistaan.,Every person is responsible for their own well-being.,0,0
1498,"Suomeen saa muuttaa vain, jos on työpaikka Suomessa",You can only move to Finland if you have a job in Finland,0,0
1499,"Nuoria ei tarvitse auttaa käskemällä, vaan mahdollistaa heille omaehtoista toimintaa.","It is not necessary to help young people by telling them, but to enable them to act independently.",0,0
1500,"Nyt varhaiskasvatus on Suomessa kehittyneempää, kuin nykyinen peruskoulu.",Now early childhood education in Finland is more developed than the current primary school.,0,0
1501,Suomen tulisi pyrkiä kohti energiaomavaraisuutta ja vähentää fossiilienergiantuontia mahdollisuuksien mukaan.,Finland should strive towards energy self-sufficiency and reduce fossil energy imports as much as possible.,0,0
1502,Ihmisellä tulisi olla oikeus avustettuun kuolemaan terminaalivaiheen hoivassa.,A person should have the right to assisted death in care of the terminal phase.,0,0
1503,Hyvä on,All right,0,0
1504,"Ihminen pyrkii aina näkyväksi, lasitettu ihminen murtuu yksinäisyyteen.","A person always strives to be visible, a glazed person breaks into loneliness.",0,0
1505,Kannettu vesi ei kaivossa pysy ja sama koskee oppimista.,Carried water does not stay in the well and the same applies to learning.,0,0
1506,On turha varastaa enempää kuin jaksaa kantaa.,It's pointless to steal more than you can carry.,0,0
1507,"Rikas hamuaa lisää, omien henkisten tavoitteiden pakottamana.","The rich man craves more, forced by his own spiritual goals.",0,0
1508,halvempaa ja paljon.,cheaper and a lot.,0,0
1509,Lasten vanhemmat hamuaa lapsilleen tietämättömyyttään aineellista omaisuutta enemmän kuin henkistä hyvinvointia.,"Children's parents desire material possessions more than spiritual well-being for their children, due to their ignorance.",0,0
1510,Sinne ei saisi enää laskea esim. jätevesiä.,"You should no longer count there, e.g. waste water.",0,0
1511,Turve tulisi määrittää hiilineutraaliksi sen vuotuisen kasvun osalta.,Peat should be defined as carbon neutral in terms of its annual growth.,0,0
1512,Dieselvero pois kokonaan,Diesel tax completely removed,0,0
